"Gene"	"baseMean"	"log2FoldChange"	"pval"	"pvalsGLM"	"Copies"	"REP"
"1"	"REP_Charlie12"	66.3947454101699	0.220550245165477	0.713205469821332	0.669668331011234	10	TRUE
"2"	"REP_ETnERV-int"	8920.4663814016	0.0776386344707819	0.745520429863658	0.866692428113156	87	TRUE
"3"	"REP_ETnERV2-int"	87652.876246545	0.249510954582078	0.389055369669709	0.539404170265118	707	TRUE
"4"	"REP_ETnERV3-int"	1140.0415202249	-0.283074604154849	0.286555586232853	0.253109639217435	129	TRUE
"5"	"REP_GSAT_MM"	111.610657529064	1.59960207042453	0.0875045763061957	0.106011727692709	9	TRUE
"6"	"REP_IAP-d-int"	839.661513675428	0.382592518160444	0.0311225883240065	0.0452014612846647	208	TRUE
"7"	"REP_IAPEy-int"	89.3028179672598	0.949725952612807	0.0306733321451708	0.0491382016520553	121	TRUE
"8"	"REP_IAPEY3-int"	1903.59577173167	0.14223729348506	0.591259155141572	0.637804523897085	293	TRUE
"9"	"REP_IAPEz-int"	40611.3980241055	0.465880598998168	0.0363841421676069	0.0422092813081288	2281	TRUE
"10"	"REP_IAPLTR3-int"	250.641124422014	0.780339125095719	0.0672178635831532	0.0723964018561982	128	TRUE
"11"	"REP_L1_Mm"	4042.43531018415	0.0312080117741201	0.951470067488144	0.971760262307613	1530	TRUE
"12"	"REP_L1_Mur1"	19791.0574922946	-0.000335329359888702	0.903774139116579	0.977969860817568	1137	TRUE
"13"	"REP_L1_Mur2"	7266.64280344645	0.117351818489111	0.307704093502898	0.369981984441994	1525	TRUE
"14"	"REP_L1_Mur3"	1691.24783412858	0.248558512837138	0.0585134817350852	0.0681030085828578	1467	TRUE
"15"	"REP_L1_Mus1"	26549.3004755464	-0.00669879480504162	0.893844654762783	0.903391949783966	2714	TRUE
"16"	"REP_L1_Mus2"	15498.5533231035	0.0769114544951606	0.464386040962331	0.612729361895481	1835	TRUE
"17"	"REP_L1_Mus3"	3854.59103029289	0.331813841969932	0.0741441104364552	0.0956645986960036	2319	TRUE
"18"	"REP_L1_Mus4"	824.239932270923	0.158623027274044	0.347488332444629	0.371915268389939	990	TRUE
"19"	"REP_L1_Rod"	348.466773164705	-0.126681100145465	0.57194102250847	0.530036509244473	294	TRUE
"20"	"REP_L1M2"	102.33516833645	0.445159587454881	0.337213422536582	0.292472273962916	155	TRUE
"21"	"REP_L1M3"	19.3939614398121	-0.267291859212204	0.714916900127047	0.70229899393674	22	TRUE
"22"	"REP_L1M4b"	38.0642300533535	-0.178887953563081	0.787199812180347	0.747451805435899	8	TRUE
"23"	"REP_L1MA4"	37.5694777452779	-0.0498036464997956	0.909553729650118	0.937515558125055	49	TRUE
"24"	"REP_L1MA4A"	23.5407772787387	0.524404229393997	0.601050733366255	0.52386866233114	13	TRUE
"25"	"REP_L1MA5"	23.3871720989748	0.838180724395807	0.389292178814747	0.337546228579337	21	TRUE
"26"	"REP_L1Md_A"	76400.1639152277	0.00981194747127804	0.909711426571157	0.900270621031859	4844	TRUE
"27"	"REP_L1Md_F"	6440.49537378814	0.18798910028515	0.230487779292776	0.266053220894822	1766	TRUE
"28"	"REP_L1Md_F2"	58627.86983933	0.127192018829537	0.285101711430748	0.468324253261554	10382	TRUE
"29"	"REP_L1Md_F3"	4935.47181119642	0.573734844609443	0.0560415328377702	0.0564799599435528	1671	TRUE
"30"	"REP_L1Md_Gf"	5731.41984510454	0.424139007820364	0.495249387626961	0.420709837850626	320	TRUE
"31"	"REP_L1Md_T"	162515.315724261	0.446022114583328	0.419484216932295	0.371165190539913	7130	TRUE
"32"	"REP_L1VL1"	464.230147734167	0.431678168030733	0.0331317269933903	0.0416182430994443	411	TRUE
"33"	"REP_L1VL2"	1578.18970681027	0.0799573174106394	0.476392295208204	0.490199719224006	1038	TRUE
"34"	"REP_L1VL4"	2477.16774619894	0.128204760733499	0.296303440650486	0.37898261902235	1666	TRUE
"35"	"REP_Lx"	4923.98889441002	-0.184522706243244	0.154532149891369	0.145848379156787	1820	TRUE
"36"	"REP_Lx2"	1349.68700666223	0.119622073276825	0.36289060246446	0.41432795676905	1123	TRUE
"37"	"REP_Lx2A"	78.6349449921822	0.43689403602737	0.335327359328599	0.302589510956554	109	TRUE
"38"	"REP_Lx2A1"	72.198534032156	0.706848805278315	0.181293444166876	0.150405752021876	132	TRUE
"39"	"REP_Lx2B"	3137.96590750742	-0.0843275199911506	0.707872279939556	0.913271852081842	778	TRUE
"40"	"REP_Lx3_Mus"	722.618064881463	0.217194935930185	0.245838591151708	0.246749232297059	995	TRUE
"41"	"REP_Lx3A"	515.936137966628	-0.0532616116463055	0.817759519301101	0.748828678979946	617	TRUE
"42"	"REP_Lx3B"	668.535328600618	-0.0409091244040327	0.946636617749222	0.921335137521925	277	TRUE
"43"	"REP_Lx3C"	366.936894484942	0.263823700808184	0.27030281514902	0.237172441693545	599	TRUE
"44"	"REP_Lx4A"	471.837246098553	0.15936818051408	0.416621238618775	0.406592675445055	616	TRUE
